,fiyat,il,ilce,mahalle,Net,OdaSayısı,BinanınYASI,BulunduguKAT,BinadakiKatSAYISI,IsıtmaTıpı,BanyoSAYISI
837,"290,000",0,0,4,6,1,5,5,4,1,0
838,"325,000",0,0,10,5,1,3,8,4,1,0
839,"415,000",0,0,13,11,1,0,0,5,4,0
840,"325,000",0,0,9,10,1,0,8,4,1,0
841,"286,000",0,0,1,11,1,0,5,4,2,0
842,"469,000",0,0,0,8,1,0,4,4,2,0
843,"270,000",0,0,11,11,1,4,6,2,1,0
844,"188,000",0,0,14,0,0,0,9,0,1,0
845,"350,000",0,0,1,11,1,2,2,4,1,0
846,"495,000",0,0,8,10,1,3,4,3,2,1
847,"350,000",0,0,6,8,1,5,1,3,1,0
848,"365,000",0,0,0,4,0,0,1,3,1,0
849,"335,000",0,0,12,2,0,4,7,0,3,0
850,"320,000",0,0,0,7,1,5,2,1,1,0
851,"340,000",0,0,7,9,1,4,2,1,1,0
852,"430,000",0,0,15,7,1,0,0,4,1,0
853,"350,000",0,0,10,9,1,5,1,1,1,0
854,"358,000",0,0,7,12,1,4,2,1,1,0
855,"360,000",0,0,3,11,1,2,0,5,2,0
856,"370,000",0,0,3,14,1,4,2,1,1,0
857,"265,000",0,0,8,13,1,5,3,2,1,0
858,"420,000",0,0,10,11,1,0,1,4,1,0
859,"225,000",0,0,14,1,0,0,2,1,1,0
860,"360,000",0,0,4,11,1,0,2,4,1,0
861,"425,000",0,0,5,16,1,2,6,4,4,0
862,"465,000",0,0,2,15,2,1,7,0,0,1
863,"265,000",0,0,16,3,0,3,9,2,1,0
864,"450,000",0,0,12,17,3,5,7,0,0,1
865,"400,000",0,0,0,4,1,0,5,4,1,0
866,"258,000",0,0,1,10,1,1,0,1,1,0
867,"290,000",0,0,4,6,1,5,5,4,1,0
868,"325,000",0,0,10,5,1,3,8,4,1,0
869,"415,000",0,0,13,11,1,0,0,5,4,0
870,"325,000",0,0,9,10,1,0,8,4,1,0
871,"286,000",0,0,1,11,1,0,5,4,2,0
872,"469,000",0,0,0,8,1,0,4,4,2,0
873,"270,000",0,0,11,11,1,4,6,2,1,0
874,"188,000",0,0,14,0,0,0,9,0,1,0
875,"350,000",0,0,1,11,1,2,2,4,1,0
876,"495,000",0,0,8,10,1,3,4,3,2,1
877,"350,000",0,0,6,8,1,5,1,3,1,0
878,"365,000",0,0,0,4,0,0,1,3,1,0
879,"335,000",0,0,12,2,0,4,7,0,3,0
880,"320,000",0,0,0,7,1,5,2,1,1,0
